Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Nicolas Batum,SF,32,LAC,33,33,29.4,3.1,6.5,.479,1.9,4.3,.448,1.2,2.1,.543,.629,0.8,1.0,.818,0.9,3.9,4.8,2.3,1.2,0.4,0.7,1.6,8.9
Aron Baynes,C,34,TOR,31,24,19.2,2.5,5.9,.424,0.5,2.1,.231,2.0,3.8,.529,.465,0.4,0.5,.688,1.5,3.8,5.4,1.0,0.3,0.4,0.9,2.5,5.9
Kent Bazemore,SF,31,GSW,33,0,16.5,2.4,4.8,.494,1.1,2.4,.450,1.3,2.4,.538,.608,0.7,0.9,.800,0.4,2.6,3.0,1.6,0.8,0.5,1.1,2.2,6.5
Darius Bazley,PF,20,OKC,34,34,30.8,4.5,11.2,.398,1.5,5.1,.295,3.0,6.1,.483,.465,1.5,2.0,.735,0.6,6.7,7.4,1.6,0.5,0.6,1.7,0.9,11.9
Bradley Beal,SG,27,WAS,30,30,35.7,11.7,24.1,.485,2.4,7.1,.338,9.3,17.0,.547,.535,7.4,8.3,.899,1.4,4.0,5.4,4.8,1.4,0.4,3.3,2.5,33.2
Malik Beasley,SG,24,MIN,33,32,33.1,7.6,16.7,.455,3.5,8.7,.406,4.1,8.0,.508,.560,1.8,2.2,.847,0.8,3.8,4.6,2.5,0.8,0.2,1.6,1.6,20.5
Jordan Bell,C,26,WAS,3,1,16.7,1.7,5.0,.333,0.0,0.7,.000,1.7,4.3,.385,.333,0.0,0.0,0,1.7,3.7,5.3,1.7,0.3,1.0,1.0,1.3,3.3
DeAndre' Bembry,SF,26,TOR,25,4,15.8,1.9,3.2,.595,0.3,0.8,.381,1.6,2.3,.672,.646,0.6,0.8,.700,0.4,1.6,2.0,1.8,0.6,0.3,0.9,1.5,4.6
Dāvis Bertāns,PF,28,WAS,28,3,26.0,3.4,8.8,.382,3.0,7.8,.384,0.4,1.0,.370,.553,1.9,2.2,.852,0.5,2.6,3.0,1.0,0.7,0.3,0.6,2.5,11.6
Patrick Beverley,PG,32,LAC,26,26,24.0,2.7,6.3,.433,1.7,4.2,.413,1.0,2.1,.473,.570,1.0,1.3,.788,1.0,2.8,3.8,2.2,0.9,0.7,0.9,3.2,8.2
Saddiq Bey,SF,21,DET,32,15,22.5,3.2,7.6,.414,2.2,5.3,.406,1.0,2.3,.432,.555,1.4,1.6,.846,0.6,3.4,4.0,1.0,0.6,0.0,0.7,1.6,9.8
Tyler Bey,SF,22,DAL,4,0,3.3,0.5,1.3,.400,0.0,0.0,0,0.5,1.3,.400,.400,0.5,1.0,.500,0.5,0.3,0.8,0.0,0.0,0.3,0.0,0.5,1.5
Khem Birch,C,28,ORL,33,1,20.5,2.2,4.5,.500,0.1,0.4,.250,2.2,4.1,.522,.510,1.5,2.1,.739,2.6,2.9,5.5,1.1,0.6,0.8,0.6,1.5,6.1
Goga Bitadze,C,21,IND,15,0,9.2,1.6,2.9,.558,0.1,0.9,.143,1.5,1.9,.759,.581,0.7,0.9,.769,0.7,1.4,2.1,0.2,0.2,1.0,0.3,1.7,4.0
Bismack Biyombo,C,28,CHO,31,17,21.9,2.3,4.2,.554,0.0,0.0,.000,2.3,4.2,.558,.554,0.9,1.8,.491,2.1,3.4,5.5,1.3,0.3,1.1,0.9,2.5,5.5
Nemanja Bjelica,PF,32,SAC,17,1,17.1,3.1,6.2,.495,0.7,2.4,.300,2.4,3.8,.615,.552,1.6,2.1,.771,0.8,3.1,3.9,2.1,0.2,0.1,1.1,1.7,8.4
Eric Bledsoe,SG,31,NOP,32,31,29.2,4.6,10.5,.440,2.1,5.3,.393,2.6,5.3,.488,.539,1.4,2.2,.648,0.5,3.0,3.5,3.6,0.8,0.3,1.7,1.5,12.8
Keljin Blevins,SF,25,POR,9,0,5.2,0.2,1.2,.182,0.0,0.4,.000,0.2,0.8,.286,.182,0.0,0.0,0,0.0,0.2,0.2,0.4,0.2,0.0,0.3,0.4,0.4
Bogdan Bogdanović,SG,28,ATL,9,2,23.7,3.3,8.7,.385,2.3,6.4,.362,1.0,2.2,.450,.519,0.9,1.0,.889,0.2,3.6,3.8,2.1,0.4,0.1,1.2,2.0,9.9
Bojan Bogdanović,SF,31,UTA,34,34,30.4,5.0,11.7,.426,2.6,6.5,.394,2.4,5.2,.466,.535,2.6,3.1,.857,0.5,3.3,3.8,2.0,0.4,0.1,1.5,1.6,15.2
Bol Bol,PF,21,DEN,14,2,5.9,0.7,1.5,.476,0.3,0.6,.444,0.4,0.9,.500,.571,0.1,0.1,.500,0.0,0.8,0.8,0.2,0.1,0.4,0.6,0.6,1.8
Marques Bolden,C,22,CLE,6,0,4.8,0.2,0.5,.333,0.0,0.0,0,0.2,0.5,.333,.333,0.8,1.3,.625,0.5,0.5,1.0,0.0,0.3,0.3,0.3,0.0,1.2
Jordan Bone,PG,23,ORL,14,0,14.0,1.6,3.9,.426,0.7,2.3,.313,0.9,1.6,.591,.519,0.0,0.0,0,0.3,1.4,1.7,1.3,0.1,0.0,0.2,0.8,4.0
Isaac Bonga,SF,21,WAS,21,7,12.4,0.8,2.1,.378,0.5,1.4,.345,0.3,0.8,.438,.489,0.1,0.2,.750,0.4,1.7,2.0,0.6,0.3,0.2,0.4,1.5,2.2
Devin Booker,SG,24,PHO,29,29,34.3,9.3,18.7,.501,2.1,5.7,.367,7.2,12.9,.560,.557,4.7,5.6,.840,0.2,3.4,3.6,4.3,0.8,0.3,3.4,3.1,25.5
Chris Boucher,C,28,TOR,34,2,23.3,4.6,8.7,.527,1.6,3.6,.447,3.0,5.1,.584,.620,2.2,2.9,.758,1.9,4.6,6.5,1.0,0.6,2.0,0.6,2.7,13.0
Brian Bowen,SF,22,IND,1,0,5.0,1.0,2.0,.500,0.0,0.0,0,1.0,2.0,.500,.500,1.0,1.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
Avery Bradley,SG,30,MIA,10,1,21.1,3.1,6.6,.470,1.6,3.8,.421,1.5,2.8,.536,.591,0.7,0.9,.778,0.2,1.6,1.8,1.4,0.7,0.1,0.9,2.6,8.5
Tony Bradley,C,23,PHI,11,1,11.0,1.8,3.4,.541,0.0,0.1,.000,1.8,3.3,.556,.541,0.3,0.5,.600,1.9,2.6,4.5,0.5,0.3,0.5,0.1,1.0,3.9
Jarrell Brantley,PF,24,UTA,10,0,2.8,0.4,1.0,.400,0.3,0.7,.429,0.1,0.3,.333,.550,0.0,0.0,0,0.2,0.5,0.7,0.0,0.1,0.1,0.1,0.4,1.1
Ignas Brazdeikis,SF,22,NYK,4,0,1.8,0.0,0.3,.000,0.0,0.0,0,0.0,0.3,.000,.000,0.5,0.5,1.000,0.3,0.3,0.5,0.3,0.0,0.0,0.3,0.0,0.5
Mikal Bridges,SF,24,PHO,33,33,32.4,4.9,9.4,.524,1.9,4.5,.423,3.0,4.9,.617,.625,1.9,2.3,.829,1.3,3.8,5.0,2.2,0.7,1.0,0.7,1.6,13.7
Miles Bridges,PF,22,CHO,33,2,26.7,3.7,7.7,.484,1.4,3.5,.388,2.4,4.2,.565,.573,1.2,1.2,.927,1.3,4.4,5.7,2.0,0.7,0.7,1.7,2.3,10.0
Malcolm Brogdon,PG,28,IND,31,31,35.9,8.1,18.4,.440,2.5,6.6,.383,5.5,11.8,.471,.509,2.6,2.9,.910,0.8,4.0,4.8,6.4,1.2,0.3,2.1,1.9,21.4
Dillon Brooks,SF,25,MEM,27,27,28.9,6.0,15.0,.398,1.9,5.7,.329,4.1,9.3,.440,.460,1.7,2.1,.804,1.0,2.1,3.1,2.5,1.3,0.4,2.1,3.3,15.5
Bruce Brown,PG,24,BRK,31,18,20.5,3.3,5.7,.580,0.2,0.9,.214,3.1,4.8,.649,.597,1.1,1.5,.733,1.5,3.1,4.6,1.2,0.7,0.3,0.8,2.0,7.8
Jaylen Brown,SG,24,BOS,31,31,33.8,9.5,19.1,.496,2.3,6.0,.385,7.1,13.0,.547,.557,3.8,4.9,.781,1.1,4.4,5.5,4.0,1.1,0.5,2.9,2.9,25.0
Moses Brown,C,21,OKC,7,0,4.4,1.0,1.4,.700,0.0,0.0,0,1.0,1.4,.700,.700,1.0,2.0,.500,0.6,1.6,2.1,0.4,0.1,0.6,0.1,0.6,3.0
Sterling Brown,SG,25,HOU,30,1,21.7,2.7,6.1,.443,1.5,3.8,.400,1.2,2.3,.515,.568,0.4,0.4,.923,0.7,3.5,4.2,1.8,0.9,0.2,0.8,2.0,7.3
Troy Brown Jr.,SF,21,WAS,16,0,14.3,1.6,4.4,.366,0.7,2.4,.289,0.9,2.1,.455,.444,0.4,0.8,.583,0.5,2.7,3.2,0.8,0.1,0.1,0.8,1.6,4.4
Jalen Brunson,PG,24,DAL,28,6,24.5,4.5,8.5,.525,1.3,3.1,.414,3.2,5.4,.589,.601,2.1,2.5,.870,0.2,3.1,3.3,3.4,0.5,0.0,1.3,1.5,12.4
Thomas Bryant,C,23,WAS,10,10,27.1,5.9,9.1,.648,0.9,2.1,.429,5.0,7.0,.714,.698,1.6,2.4,.667,1.8,4.3,6.1,1.5,0.4,0.8,1.1,3.1,14.3
Reggie Bullock,SF,29,NYK,30,30,26.2,3.1,7.6,.412,1.7,4.6,.380,1.4,3.0,.462,.526,0.6,0.7,.857,0.3,3.2,3.5,1.3,0.6,0.2,0.7,2.3,8.6
Trey Burke,PG,28,DAL,31,0,16.3,2.7,6.2,.440,1.3,3.2,.398,1.5,3.0,.484,.542,0.8,0.9,.862,0.1,0.9,1.0,1.5,0.7,0.1,0.6,1.3,7.5
Alec Burks,SG,29,NYK,23,3,25.0,3.8,9.1,.416,2.0,4.8,.414,1.8,4.3,.418,.526,2.0,2.3,.833,0.5,3.9,4.4,2.0,0.7,0.2,1.1,1.9,11.5
Jimmy Butler,SF,31,MIA,21,21,33.1,6.3,14.3,.442,0.3,1.5,.219,6.0,12.8,.468,.453,7.1,8.3,.862,2.1,5.7,7.8,7.8,1.9,0.4,2.3,1.1,20.1
Bruno Caboclo,PF,25,HOU,6,0,6.0,1.3,2.8,.471,0.0,0.8,.000,1.3,2.0,.667,.471,0.2,0.3,.500,0.5,1.8,2.3,0.2,0.0,0.3,0.7,1.0,2.8
Devontae Cacok,PF,24,LAL,4,0,4.3,1.0,1.0,1.000,0.0,0.0,0,1.0,1.0,1.000,1.000,0.0,0.5,.000,0.3,1.0,1.3,0.0,0.5,0.0,0.5,0.0,2.0
Kentavious Caldwell-Pope,SG,27,LAL,31,31,25.9,3.0,6.8,.441,1.6,3.9,.408,1.4,2.9,.484,.557,1.2,1.4,.841,0.5,1.8,2.3,1.4,0.8,0.3,1.1,1.6,8.8
Facundo Campazzo,PG,29,DEN,30,1,16.3,1.7,4.2,.405,1.1,2.9,.379,0.6,1.3,.462,.536,1.0,1.2,.811,0.2,0.9,1.0,2.1,1.0,0.2,0.8,1.9,5.5
Vlatko Čančar,PF,23,DEN,17,0,3.7,0.2,0.9,.267,0.1,0.5,.125,0.2,0.4,.429,.300,0.1,0.2,.667,0.2,0.6,0.8,0.2,0.2,0.1,0.4,0.2,0.6
Clint Capela,C,26,ATL,31,31,29.6,6.5,11.1,.592,0.0,0.0,0,6.5,11.1,.592,.592,1.8,3.2,.550,4.9,9.2,14.1,0.9,0.8,2.3,1.3,2.3,14.9
Vernon Carey Jr.,C,19,CHO,3,0,2.0,0.3,1.0,.333,0.0,0.3,.000,0.3,0.7,.500,.333,0.3,0.7,.500,0.7,0.3,1.0,0.3,0.0,0.3,0.0,0.0,1.0
Jevon Carter,PG,25,PHO,28,0,9.9,1.0,2.8,.351,0.6,1.9,.302,0.4,0.9,.458,.455,0.1,0.1,1.000,0.1,1.2,1.3,1.2,0.4,0.3,0.2,1.1,2.6
Wendell Carter Jr.,C,21,CHI,21,21,27.0,4.8,8.7,.552,0.3,0.9,.316,4.5,7.8,.579,.568,2.8,3.8,.738,1.9,5.8,7.7,2.2,0.8,0.9,2.0,3.2,12.7
Michael Carter-Williams,SG,29,ORL,15,10,25.7,2.9,7.9,.361,0.3,1.8,.185,2.5,6.1,.413,.382,1.6,2.1,.750,1.7,2.9,4.5,3.8,0.5,0.5,1.9,2.7,7.7
Alex Caruso,PG,26,LAL,28,0,19.9,2.1,5.0,.426,0.9,2.4,.388,1.2,2.6,.459,.518,0.5,0.8,.714,0.6,2.1,2.6,2.4,1.1,0.2,1.1,1.8,5.8
Willie Cauley-Stein,C,27,DAL,30,10,17.8,2.3,3.7,.622,0.0,0.2,.167,2.3,3.5,.648,.626,1.0,1.6,.646,1.3,3.4,4.6,0.8,0.3,0.8,0.5,2.4,5.7
Chris Chiozza,PG,25,BRK,14,0,9.6,1.2,3.4,.362,0.6,1.6,.391,0.6,1.7,.333,.457,0.7,0.9,.769,0.2,0.8,1.0,2.5,0.3,0.3,0.7,0.8,3.8
Marquese Chriss,PF,23,GSW,2,0,13.5,2.5,7.0,.357,0.5,2.5,.200,2.0,4.5,.444,.393,1.0,2.0,.500,1.5,5.0,6.5,1.0,0.0,1.0,1.0,1.5,6.5
Gary Clark,SF,26,ORL,28,11,19.9,1.1,3.8,.286,0.8,3.2,.258,0.3,0.6,.438,.395,0.3,0.3,.889,1.0,2.3,3.4,0.9,0.4,0.2,0.5,1.1,3.3
Brandon Clarke,PF,24,MEM,25,15,26.5,5.2,10.3,.510,0.6,1.8,.318,4.7,8.5,.549,.537,1.4,2.0,.667,1.5,4.2,5.7,1.6,1.1,0.7,0.6,1.6,12.4
Jordan Clarkson,SG,28,UTA,34,0,26.1,6.7,14.9,.449,3.2,8.6,.371,3.5,6.2,.557,.556,1.6,1.6,.964,0.8,3.1,3.9,2.2,0.9,0.2,1.7,1.5,18.1
Nicolas Claxton,C,21,BRK,3,0,14.0,2.0,4.0,.500,0.0,0.0,0,2.0,4.0,.500,.500,1.7,2.3,.714,0.3,1.7,2.0,1.0,1.3,1.3,0.7,1.0,5.7
Amir Coffey,SG,23,LAC,20,0,7.7,1.1,2.0,.525,0.6,1.1,.524,0.5,1.0,.526,.663,0.2,0.5,.333,0.2,0.6,0.8,0.4,0.2,0.0,0.4,0.6,2.8
John Collins,PF,23,ATL,34,34,30.9,7.1,13.1,.541,1.4,3.5,.390,5.8,9.7,.596,.593,2.5,2.9,.850,2.2,5.4,7.6,1.5,0.5,1.0,1.3,3.3,18.1
Mike Conley,PG,33,UTA,27,27,29.2,5.6,12.5,.447,2.8,6.8,.415,2.8,5.7,.484,.559,2.2,2.7,.822,1.0,2.6,3.6,5.7,1.5,0.1,2.0,1.9,16.2
Pat Connaughton,SG,28,MIL,31,0,20.6,2.2,5.0,.442,1.3,3.4,.390,0.9,1.6,.549,.574,0.5,0.5,.824,0.8,3.2,4.0,1.4,0.7,0.5,0.4,1.6,6.2
Quinn Cook,PG,27,LAL,16,0,3.9,0.8,1.6,.462,0.3,0.8,.385,0.4,0.8,.538,.558,0.3,0.3,.800,0.0,0.3,0.3,0.3,0.1,0.1,0.2,0.1,2.1
Tyler Cook,PF,23,BRK,2,0,7.0,0.5,1.5,.333,0.0,0.0,0,0.5,1.5,.333,.333,0.0,0.0,0,0.5,0.5,1.0,1.0,0.0,0.0,0.5,1.0,1.0
DeMarcus Cousins,C,30,HOU,25,11,20.2,3.2,8.4,.376,1.6,4.6,.336,1.6,3.8,.426,.469,1.8,2.4,.746,1.2,6.4,7.6,2.4,0.8,0.7,1.6,3.0,9.6
Robert Covington,PF,30,POR,30,30,31.4,2.5,7.1,.355,1.6,5.0,.320,0.9,2.1,.438,.467,0.6,0.7,.864,0.9,5.6,6.4,1.7,1.5,1.0,1.2,2.5,7.3
Torrey Craig,SF,30,MIL,16,0,11.4,1.1,2.5,.425,0.5,1.2,.421,0.6,1.3,.429,.525,0.1,0.1,.500,0.8,1.7,2.4,0.8,0.6,0.3,0.3,1.4,2.7
Jae Crowder,PF,30,PHO,30,17,27.4,3.3,8.5,.388,2.3,6.4,.358,1.0,2.1,.484,.524,0.9,1.1,.848,0.4,4.6,5.0,2.2,0.9,0.2,0.8,1.9,9.8
Jarrett Culver,SG,21,MIN,18,7,20.1,2.9,6.7,.433,0.4,1.9,.235,2.4,4.8,.512,.467,1.2,1.9,.600,1.6,3.3,4.8,0.9,0.7,0.4,1.2,2.1,7.4
Seth Curry,SG,30,PHI,26,26,29.9,4.4,9.6,.462,2.0,4.5,.449,2.4,5.0,.473,.568,1.8,1.9,.920,0.2,1.9,2.1,2.7,0.9,0.3,1.5,1.7,12.7
Stephen Curry,PG,32,GSW,34,34,34.1,9.7,20.3,.478,4.8,11.7,.413,4.9,8.6,.567,.597,5.3,5.6,.938,0.5,4.9,5.4,6.4,1.3,0.1,3.1,1.9,29.5
Anthony Davis,PF,27,LAL,23,23,32.8,8.9,16.7,.533,0.7,2.5,.293,8.1,14.1,.575,.555,4.0,5.7,.715,2.0,6.3,8.4,3.0,1.3,1.8,2.0,1.8,22.5
Ed Davis,C,31,MIN,19,7,13.9,0.9,2.3,.419,0.0,0.0,0,0.9,2.3,.419,.419,0.4,0.4,.875,2.0,3.1,5.1,1.0,0.5,0.5,0.3,2.6,2.3
Terence Davis,SG,23,TOR,28,2,13.9,2.5,5.8,.426,1.3,3.5,.381,1.1,2.3,.492,.540,0.4,0.4,.917,0.3,1.6,1.9,0.9,0.5,0.2,0.7,1.5,6.6
DeMar DeRozan,PF,31,SAS,26,26,33.6,6.7,13.6,.494,0.6,1.9,.327,6.1,11.7,.521,.517,6.2,7.0,.890,0.7,4.1,4.8,7.0,0.8,0.3,1.6,1.8,20.3
Hamidou Diallo,SG,22,OKC,32,5,23.8,4.5,9.3,.481,0.4,1.3,.293,4.1,8.0,.512,.502,2.6,4.1,.629,1.2,4.0,5.2,2.4,1.0,0.4,1.5,2.6,11.9
Gorgui Dieng,C,31,MEM,22,1,16.9,2.5,4.9,.519,1.0,2.2,.479,1.5,2.7,.550,.625,1.7,2.0,.884,1.3,3.2,4.5,1.3,0.8,0.6,1.0,1.7,7.9
Spencer Dinwiddie,SG,27,BRK,3,3,21.3,2.0,5.3,.375,0.7,2.3,.286,1.3,3.0,.444,.438,2.0,2.0,1.000,0.0,4.3,4.3,3.0,0.7,0.3,1.7,1.3,6.7
Donte DiVincenzo,SG,24,MIL,34,34,26.7,4.1,9.4,.430,2.0,5.0,.394,2.1,4.4,.470,.534,0.5,0.8,.593,1.2,3.5,4.7,2.9,1.1,0.2,1.2,1.5,10.6
Luka Dončić,PG,21,DAL,31,31,35.1,9.9,20.8,.475,2.6,7.4,.351,7.3,13.5,.543,.537,6.1,8.0,.759,0.8,7.5,8.4,9.0,1.0,0.7,4.2,2.1,28.5
Luguentz Dort,SG,21,OKC,33,33,29.7,4.3,10.9,.398,1.9,5.9,.328,2.4,5.0,.482,.487,1.9,2.5,.747,0.6,2.8,3.4,1.5,0.8,0.3,1.5,2.4,12.5
Damyean Dotson,SG,26,CLE,28,6,19.6,2.8,6.8,.408,1.0,3.6,.287,1.8,3.2,.544,.484,0.6,0.9,.692,0.1,1.7,1.8,2.3,0.4,0.1,0.8,0.9,7.3
Devon Dotson,PG,21,CHI,1,0,10.0,2.0,4.0,.500,0.0,0.0,0,2.0,4.0,.500,.500,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0
Sekou Doumbouya,PF,20,DET,30,2,13.2,1.4,4.2,.333,0.4,1.8,.245,1.0,2.4,.397,.385,0.6,0.8,.720,0.5,1.8,2.4,0.7,0.4,0.1,0.6,1.5,3.8
PJ Dozier,SG,24,DEN,18,0,19.2,2.6,5.6,.465,0.9,2.3,.390,1.7,3.3,.517,.545,1.1,1.6,.714,0.9,3.3,4.2,1.3,0.5,0.6,0.8,1.6,7.2
Goran Dragić,PG,34,MIA,20,7,26.8,5.4,11.8,.455,1.7,4.7,.366,3.7,7.1,.514,.528,2.5,3.1,.820,0.4,2.7,3.1,4.9,0.6,0.1,2.9,2.6,14.9
Andre Drummond,C,27,CLE,25,25,28.9,7.2,15.2,.474,0.0,0.3,.000,7.2,14.9,.484,.474,3.1,5.2,.597,4.0,9.4,13.5,2.6,1.6,1.2,3.2,2.8,17.5
Jared Dudley,PF,35,LAL,9,0,5.7,0.2,0.6,.400,0.2,0.4,.500,0.0,0.1,.000,.600,0.0,0.0,0,0.4,1.1,1.6,0.3,0.0,0.0,0.2,0.3,0.7
Kevin Durant,PF,32,BRK,19,18,35.7,9.9,18.9,.524,2.6,5.9,.434,7.3,12.9,.565,.592,6.6,7.6,.869,0.4,6.9,7.3,5.3,0.7,1.4,3.5,2.3,29.0
Anthony Edwards,SG,19,MIN,35,18,29.0,5.5,14.7,.372,1.9,6.1,.312,3.5,8.5,.415,.437,1.9,2.4,.800,0.7,3.3,4.0,2.5,0.8,0.4,1.8,1.5,14.8
Carsen Edwards,SG,22,BOS,14,1,10.5,2.1,4.5,.460,0.8,2.4,.324,1.3,2.1,.621,.548,0.5,0.6,.778,0.1,0.9,1.0,0.4,0.3,0.1,0.1,1.1,5.4
CJ Elleby,SF,20,POR,13,0,8.1,1.1,2.4,.452,0.4,1.5,.263,0.7,0.9,.750,.532,0.5,0.7,.667,0.3,0.8,1.1,0.2,0.3,0.2,0.2,1.4,3.0
Wayne Ellington,SG,33,DET,26,22,22.5,3.4,7.8,.441,2.5,6.0,.414,0.9,1.7,.533,.601,0.7,1.0,.720,0.3,1.4,1.7,1.4,0.4,0.2,0.7,1.5,10.0
Joel Embiid,C,26,PHI,28,28,33.0,9.3,18.0,.519,1.2,2.9,.415,8.1,15.0,.539,.553,10.2,11.9,.858,2.2,9.1,11.3,3.2,1.3,1.4,3.3,2.5,30.0
James Ennis,SF,30,ORL,24,23,21.4,2.5,5.0,.500,0.9,2.0,.447,1.6,3.0,.534,.588,1.4,1.8,.786,1.1,2.8,3.9,1.3,0.8,0.3,0.9,2.2,7.3
Drew Eubanks,C,23,SAS,12,0,12.3,1.4,3.4,.415,0.0,0.0,0,1.4,3.4,.415,.415,1.0,1.3,.750,0.6,2.7,3.3,0.4,0.1,1.3,0.5,1.2,3.8
Dante Exum,SG,25,CLE,6,3,19.3,1.7,4.3,.385,0.3,1.8,.182,1.3,2.5,.533,.423,0.2,0.3,.500,0.3,2.5,2.8,2.2,0.7,0.3,1.2,1.5,3.8
Tacko Fall,C,25,BOS,8,0,7.1,1.1,1.6,.692,0.0,0.0,0,1.1,1.6,.692,.692,0.4,1.0,.375,1.0,1.6,2.6,0.1,0.0,1.3,0.1,1.3,2.6
Derrick Favors,C,29,UTA,32,0,16.3,2.5,3.9,.648,0.0,0.0,.000,2.5,3.9,.653,.648,1.4,1.8,.789,1.9,3.6,5.5,0.8,0.5,0.9,0.6,2.4,6.5
Cristiano Felício,C,28,CHI,6,0,6.3,0.5,0.7,.750,0.0,0.0,0,0.5,0.7,.750,.750,0.8,1.3,.625,1.0,1.0,2.0,0.8,0.3,0.0,0.5,0.5,1.8
Terrance Ferguson,SG,22,PHI,8,0,3.5,0.0,0.5,.000,0.0,0.4,.000,0.0,0.1,.000,.000,0.0,0.0,0,0.0,0.1,0.1,0.3,0.0,0.0,0.1,0.5,0.0
Bruno Fernando,C,22,ATL,17,0,8.6,0.6,1.4,.435,0.0,0.1,.000,0.6,1.2,.476,.435,0.5,0.9,.600,0.7,2.6,3.3,0.5,0.1,0.1,0.8,0.9,1.7
Yogi Ferrell,PG,27,CLE,2,0,20.0,4.0,10.5,.381,1.5,4.5,.333,2.5,6.0,.417,.452,0.0,1.0,.000,1.5,2.0,3.5,2.5,1.5,0.5,1.5,2.0,9.5
Dorian Finney-Smith,PF,27,DAL,23,23,31.3,3.1,7.3,.429,1.8,4.9,.363,1.3,2.4,.564,.551,0.4,0.5,.833,1.5,3.6,5.0,1.3,1.0,0.4,0.6,2.7,8.5
Malachi Flynn,PG,22,TOR,15,0,8.3,0.8,3.0,.267,0.3,1.7,.192,0.5,1.3,.368,.322,0.3,0.4,.667,0.1,0.7,0.7,1.1,0.3,0.0,0.3,0.8,2.2
Bryn Forbes,SG,27,MIL,34,6,19.0,3.5,7.3,.476,2.1,4.5,.458,1.4,2.8,.505,.617,0.6,0.8,.741,0.2,1.1,1.4,0.6,0.2,0.0,0.6,1.1,9.6
Trent Forrest,PG,22,UTA,7,0,2.9,0.0,0.4,.000,0.0,0.3,.000,0.0,0.1,.000,.000,0.3,0.3,1.000,0.0,0.3,0.3,0.6,0.3,0.0,0.1,0.3,0.3
Evan Fournier,SF,28,ORL,20,20,29.3,6.0,13.5,.442,2.4,6.6,.356,3.6,6.9,.526,.530,3.9,4.9,.796,0.3,2.8,3.0,3.9,1.1,0.4,2.2,2.0,18.2
De'Aaron Fox,PG,23,SAC,33,33,34.0,8.2,17.7,.465,1.8,5.4,.345,6.4,12.4,.517,.517,4.4,6.5,.676,0.6,2.6,3.2,7.4,1.2,0.5,3.2,2.8,22.8
Tim Frazier,PG,30,MEM,3,0,11.0,0.7,2.7,.250,0.0,0.7,.000,0.7,2.0,.333,.250,0.0,0.0,0,0.0,1.3,1.3,2.3,0.3,0.0,1.0,1.3,1.3
Markelle Fultz,PG,22,ORL,8,8,26.9,5.1,13.0,.394,0.5,2.0,.250,4.6,11.0,.420,.413,2.1,2.4,.895,0.6,2.5,3.1,5.4,1.0,0.3,2.3,2.3,12.9
Wenyen Gabriel,PF,23,NOP,4,0,3.0,0.0,0.8,.000,0.0,0.3,.000,0.0,0.5,.000,.000,0.0,0.0,0,0.3,1.0,1.3,0.3,0.0,0.0,0.0,0.0,0.0
Daniel Gafford,PF,22,CHI,25,11,13.5,2.0,3.0,.662,0.0,0.0,0,2.0,3.0,.662,.662,1.0,1.5,.676,1.3,1.8,3.1,0.6,0.4,1.2,0.8,1.9,4.9
Danilo Gallinari,PF,32,ATL,22,1,21.0,3.2,8.3,.390,1.8,4.8,.381,1.4,3.5,.403,.500,3.0,3.3,.931,0.2,2.9,3.1,1.4,0.5,0.1,1.2,1.9,11.3
Langston Galloway,SG,29,PHO,25,0,10.5,1.5,3.3,.463,0.8,1.8,.457,0.7,1.4,.472,.591,0.6,0.6,1.000,0.2,0.9,1.0,0.6,0.2,0.0,0.3,0.6,4.5
Darius Garland,PG,21,CLE,26,23,33.6,6.5,14.8,.436,1.7,4.5,.381,4.7,10.3,.461,.495,1.5,1.8,.833,0.5,1.8,2.3,5.8,1.2,0.1,2.8,2.3,16.2
Marc Gasol,C,36,LAL,35,35,20.1,1.5,3.8,.403,0.9,2.4,.365,0.7,1.4,.469,.519,0.8,1.0,.806,0.7,3.4,4.1,2.0,0.5,1.3,0.9,2.3,4.8
Rudy Gay,PF,34,SAS,26,0,22.0,4.2,9.9,.419,1.6,4.3,.366,2.6,5.6,.459,.498,1.3,1.7,.767,0.9,4.3,5.2,1.5,0.7,0.5,1.2,1.8,11.2
Paul George,SF,30,LAC,26,26,33.3,8.2,16.3,.501,3.5,7.5,.459,4.7,8.8,.537,.607,3.5,4.0,.885,0.8,5.3,6.2,5.5,1.1,0.5,3.4,2.3,23.4
Taj Gibson,PF,35,NYK,12,0,15.1,1.5,2.6,.581,0.2,0.6,.286,1.3,2.0,.667,.613,0.6,1.0,.583,1.5,2.8,4.3,0.5,0.4,0.3,0.6,1.9,3.8
Harry Giles,C,22,POR,22,0,11.8,1.2,2.8,.419,0.1,0.4,.375,1.0,2.5,.426,.444,0.6,0.8,.722,1.1,3.8,4.9,0.9,0.2,0.4,0.7,2.0,3.1
Shai Gilgeous-Alexander,SG,22,OKC,28,28,33.9,8.0,15.5,.514,2.1,5.0,.414,5.9,10.5,.561,.581,5.2,6.5,.792,0.6,4.6,5.3,6.3,0.8,0.6,3.0,2.0,23.2
